차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
벤츠 A220 해치백,자동,5인승,4기통,190마력,30.6kgm,가솔린,48km,
포르쉐 파나메라 3.0 디젤,자동,4인승,6기통,300마력,66.3kgm,디젤,13만km,"4,750"
렉서스 NX 300h 슈프림,자동,5인승,4기통,199마력,,가솔린+전기,2만km,
벤츠 E220 d 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,3만km,"5,100"
아우디 Q7 45 TFSI 콰트로,자동,5인승,4기통,252마력,37.7kgm,가솔린,2만km,"5,890"
마세라티 콰트로포르테 3.0 S Q4,자동,5인승,6기통,410마력,56.1kgm,가솔린,6만km,
벤츠 E450 4매틱 쿠페,자동,4인승,6기통,367마력,51kgm,가솔린,1만km,
페라리 488 GTB 3.9 V8,자동,2인승,8기통,670마력,77.5kgm,가솔린,2만km,
벤츠 E300 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,1만km,
랜드로버 뉴 레인지로버 4.4 SDV8 보그 SE,자동,5인승,8기통,339마력,75.5kgm,디젤,2만km,
페라리 458 스파이더,자동,2인승,8기통,570마력,55.1kgm,가솔린,4만km,
벤츠 S350L 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,7만km,
벤츠 E350 4매틱 AMG 라인,자동,5인승,4기통,299마력,40.8kgm,가솔린,19km,
BMW 535d M스포츠,자동,5인승,6기통,313마력,64.3kgm,디젤,6만km,
벤츠 E300 4매틱 아방가르드,자동,5인승,6기통,252마력,34.7kgm,가솔린,8만km,"2,430"
렉서스 뉴 IS 250 슈프림,자동,5인승,6기통,207마력,25.5kgm,가솔린,6만km,"1,850"
벤츠 E220 d 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,8만km,
피아트 500 C 1.2,자동,4인승,4기통,69마력,10.4kgm,가솔린,200km,
혼다 S2000 2.0 컨버터블,수동,2인승,,,,가솔린,15만km,
미니 쿠퍼 컨트리맨 1.5 하이트림,자동,5인승,3기통,136마력,22.4kgm,가솔린,585km,
페라리 GTC4 루쏘 6.3 V12,자동,4인승,12기통,690마력,71.1kgm,가솔린,9천km,
페라리 488 피스타,자동,,,,,가솔린,2천km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,1만km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,445km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,6천km,
페라리 GTC4 루쏘 3.9 V8 T,자동,4인승,8기통,610마력,77.5kgm,가솔린,1만km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,5천km,
포르쉐 파나메라 4.0 GTS,자동,4인승,8기통,460마력,63.2kgm,가솔린,3천km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,1천km,"26,617"
포르쉐 718 박스터 S 2.5,수동,,,,,가솔린,7천km,"11,300"
랜드로버 레인지로버 이보크 2.2 SD4 퓨어,자동,5인승,4기통,190마력,42.8kgm,디젤,6만km,
벤츠 E300 4매틱 아방가르드 인텔리전트 드라이브,자동,5인승,4기통,245마력,37.7kgm,가솔린,4만km,
미니 쿠퍼 컨트리맨 D 2.0,자동,5인승,4기통,150마력,33.7kgm,디젤,5만km,
벤츠 S350L,자동,5인승,6기통,313마력,49kgm,가솔린,2만km,0
벤츠 S 7세대 S400 d 4매틱  ,자동,5인승,6기통,330마력,71.4kgm,디젤,2천km,"16,500"
포르쉐 뉴 911 카레라 4  ,자동,4인승,6기통,392마력,45.9kgm,가솔린,5천km,"19,500"
포르쉐 뉴 911 카레라 4 카브리올레  ,자동,4인승,6기통,392마력,45.9kgm,가솔린,4천km,"19,700"
맥라렌 570S 쿠페 ,자동,2인승,,,,가솔린,1만km,"18,700"
BMW X5 xDrive 30d M 스포츠,자동,5인승,6기통,258마력,57.1kgm,디젤,6만km,
지프 올 뉴 그랜드체로키 3.6 V6 오버랜드 WK2,자동,5인승,6기통,286마력,35.4kgm,가솔린,5천km,"4,840"
롤스로이스 컬리넌 6.8 V12,자동,,,,,가솔린,2천km,
렉서스 LC 500 스포츠 플러스,자동,4인승,8기통,477마력,55.1kgm,가솔린,1만km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,7천km,계약
볼보 S90 B5 인스크립션,자동,5인승,4기통,250마력,35.7kgm,가솔린+전기,2천km,"6,530"
지프 랭글러 2.8 루비콘 4도어 언리미티드,자동,5인승,4기통,200마력,46.9kgm,디젤,2만km,
GMC 유콘 6.2 V8 데날리,자동,,,,,가솔린,4만km,
캐딜락 에스컬레이드 6.2 V8 ESV AWD 플래티넘,자동,,,,,가솔린,2만km,
페라리 612 스카글리에이티,자동,4인승,12기통,540마력,60.1kgm,가솔린,2만km,
포르쉐 911 카레라 GTS,자동,4인승,6기통,450마력,56.1kgm,가솔린,1만km,
마세라티 콰트로포르테 3.0 S Q4,자동,5인승,6기통,430마력,59.2kgm,가솔린,4만km,
포르쉐 마칸 3.6 터보,자동,5인승,6기통,400마력,56.1kgm,가솔린,7만km,
﻿재규어 뉴 XJ 5.0 V8 LWB 포트폴리오,자동,5인승,8기통,385마력,52.6kgm,가솔린,15만km,
마세라티 콰트로포르테 3.0 S Q4 그란스포츠,자동,5인승,6기통,430마력,59.2kgm,가솔린,2만km,"9,000"
포르쉐 뉴 카이엔 3.0,자동,5인승,6기통,340마력,45.9kgm,가솔린,1만km,"12,700"
포르쉐 파나메라 3.6 4 4WD 에디션,자동,4인승,6기통,310마력,40.8kgm,가솔린,7만km,
벤츠 B200 CDI,자동,5인승,,,,디젤,10만km,
쉐보레 익스프레스밴 5.3,자동,9인승,,,,가솔린,12만km,
벤츠 S350 d 4매틱,자동,5인승,6기통,286마력,61.2kgm,디젤,6천km,"12,500"
쉐보레 익스프레스밴 6.0,자동,,,,,가솔린,9만ml,"3,500"
벤츠 CLS 400 d 4매틱 AMG 라인,자동,5인승,6기통,340마력,71.4kgm,디젤,3만km,
벤츠 S350L 블루이피션시,자동,5인승,6기통,306마력,37.7kgm,가솔린,12만km,
아우디 Q7 35 TDI 콰트로 다이나믹,자동,7인승,6기통,245마력,56.1kgm,디젤,9만km,
포르쉐 718 박스터 2.0,자동,2인승,4기통,300마력,38.8kgm,가솔린,7천km,
BMW 740Li,자동,5인승,6기통,326마력,45.9kgm,가솔린,21만km,
BMW X5 xDrive 30d,자동,5인승,6기통,258마력,57.1kgm,디젤,5만km,
랜드로버 올 뉴 디스커버리 3.0 TD6 HSE,자동,7인승,6기통,258마력,61.2kgm,디젤,6만km,
벤츠 AMG GT 4도어 43 4매틱 플러스,자동,5인승,6기통,367마력,51kgm,가솔린,1만km,
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,6만km,
포르쉐 뉴 카이엔 3.0,자동,5인승,6기통,340마력,45.9kgm,가솔린,3만km,
벤츠 G350 블루텍 ,자동,5인승,6기통,211마력,55.1kgm,디젤,22만km,
BMW 520i,자동,5인승,4기통,156마력,20.4kgm,가솔린,7만km,
벤츠 S550L,자동,5인승,,,,가솔린,19만km,
캐딜락 에스컬레이드 6.2 ESC,자동,7인승,8기통,403마력,57.6kgm,가솔린,13만km,
볼보 940 웨건,자동,5인승,,,,가솔린,17만km,"1,500"
포르쉐 911 터보,자동,4인승,6기통,540마력,67.3kgm,가솔린,8천km,
벤츠 S 6세대 S63L AMG 4매틱 ,자동,5인승,8기통,585마력,91.8kgm,가솔린,3만km,"10,500"
벤츠 S400L 4매틱,자동,5인승,6기통,333마력,49kgm,가솔린,3만km,
벤츠 CLA250 4매틱 AMG 라인,자동,5인승,4기통,211마력,35.7kgm,가솔린,3만km,
캐딜락 에스컬레이드 6.0 ESC,자동,7인승,8기통,345마력,52.5kgm,가솔린,17만km,"1,150"
캐딜락 에스컬레이드 6.2 V8 AWD 플래티넘,자동,7인승,8기통,426마력,63.5kgm,가솔린,2만km,
벤츠 G63 AMG 크레이지컬러 에디션,자동,5인승,8기통,544마력,77.5kgm,가솔린,5천km,
벤츠 S63L AMG 4매틱,자동,5인승,8기통,585마력,91.8kgm,가솔린,1천km,
포르쉐 718 박스터 S 2.5,자동,2인승,4기통,350마력,42.8kgm,가솔린,1만km,
벤츠 G63 AMG,자동,5인승,8기통,571마력,77.5kgm,가솔린,1만km,
벤츠 AMG GT 4도어 63 S 4매틱 플러스,자동,4인승,8기통,639마력,91.8kgm,가솔린,227km,
벤츠 S65L AMG,자동,5인승,12기통,630마력,102kgm,가솔린,1만km,"17,000"
벤츠 C43 AMG 4매틱,자동,5인승,6기통,390마력,53kgm,가솔린,107km,
테슬라 모델 S 롱 레인지,자동,5인승,,,,전기,4만km,
BMW Z4 sDrive30i,자동,2인승,6기통,258마력,31.6kgm,가솔린,5만km,"2,850"
지프 올 뉴 그랜드체로키 3.0 CRD 오버랜드,자동,5인승,6기통,250마력,56.1kgm,디젤,1만km,"4,860"
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,2만km,
벤츠 S560L e,자동,5인승,,,,가솔린+전기,30km,
벤츠 A35 AMG 4매틱 세단,자동,5인승,4기통,306마력,40.8kgm,가솔린,13km,
벤츠 A35 AMG 4매틱 세단,자동,5인승,4기통,306마력,40.8kgm,가솔린,65km,
벤츠 E 10세대 E250 아방가르드 ,자동,5인승,4기통,211마력,35.7kgm,가솔린,1만km,"2,629"
BMW 630d GT xDrive M 스포츠,자동,5인승,6기통,265마력,63.2kgm,디젤,4만km,
더밴 11인승 스프린터,자동,,,,,디젤,3천km,
더밴 11인승 스프린터,자동,,,,,디젤,4천km,
더밴 11인승 스프린터,자동,,,,,디젤,3천km,
랜드로버 뉴 레인지로버 4.4 SDV8 보그 SE L405,자동,5인승,8기통,339마력,71.4kgm,디젤,10만km,"5,750"
BMW X6 xDrive 40d M 스포츠,자동,5인승,6기통,313마력,64.3kgm,디젤,7만km,
BMW i8 쿠페,자동,4인승,3기통,362마력,58.1kgm,가솔린+전기,9만km,"8,700"
람보르기니 아벤타도르 LP700-4 미우라 오마주,자동,2인승,12기통,700마력,70.4kgm,가솔린,4천km,
폭스바겐 아테온 2.0 TDI  엘레강스 프레스티지 ,자동,5인승,4기통,190마력,40.8kgm,디젤,1만km,"3,930"
벤츠 A35 AMG 4매틱 세단,자동,5인승,4기통,306마력,40.8kgm,가솔린,898km,
BMW 730Ld xDrive,자동,5인승,6기통,265마력,63.2kgm,디젤,4만km,
벤틀리 뉴 컨티넨탈 GTC 6.0 W12 퍼스트 에디션,자동,,,,,가솔린,1만km,
포르쉐 타이칸 터보,자동,4인승,,,,전기,2천km,
포르쉐 타이칸 터보,자동,4인승,,,,전기,211km,
포르쉐 타이칸 터보,자동,4인승,,,,전기,23km,
포르쉐 타이칸 터보,자동,4인승,,,,전기,27km,
포르쉐 뉴 카이엔 3.0,자동,5인승,6기통,340마력,45.9kgm,가솔린,1만km,
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 LWB,자동,5인승,8기통,510마력,63.8kgm,가솔린,2만km,
포르쉐 파나메라 4.0 GTS,자동,4인승,8기통,480마력,63.2kgm,가솔린,18km,
애스턴마틴 뱅퀴시 V12,자동,2인승,12기통,576마력,64.3kgm,가솔린,2만km,
애스턴마틴 뱅퀴시 V12,자동,2인승,12기통,576마력,64.3kgm,가솔린,1만km,
페라리 812 GTS 6.5 V12,자동,2인승,12기통,800마력,73.2kgm,가솔린,267km,
애스턴마틴 뱅퀴시 V12,자동,2인승,12기통,576마력,64.3kgm,가솔린,1만km,
벤츠 CLA200 CDI,자동,5인승,4기통,136마력,30.6kgm,디젤,8만km,
랜드로버 디스커버리4 3.0 SDV6 HSE,자동,7인승,6기통,255마력,61.2kgm,디젤,5만km,
포르쉐 파나메라 3.6 2WD,자동,4인승,6기통,300마력,40.8kgm,가솔린,8만km,
﻿지프 뉴 체로키 2.0 디젤 리미티드 4WD KL,자동,5인승,4기통,170마력,35.7kgm,디젤,8만km,"1,950"
마세라티 기블리 3.0 V6 S Q4,자동,5인승,6기통,410마력,56.1kgm,가솔린,9만km,"5,490"
벤츠 CLS 350 블루이피션시,자동,4인승,6기통,306마력,37.7kgm,가솔린,8만km,
사브 9000 CDE 2.0,자동,5인승,4기통,150마력,21.9kgm,가솔린,20만km,"1,000"
포르쉐 718 박스터 2.5 GTS,자동,2인승,4기통,365마력,43.9kgm,가솔린,2만km,
벤츠 EQC 400 4매틱,자동,5인승,,,,전기,5천km,
아우디 A6 40 TDI 콰트로 스포츠,자동,5인승,6기통,218마력,51kgm,디젤,7만km,
벤츠 S63 AMG 4매틱 쿠페,자동,4인승,8기통,585마력,91.8kgm,가솔린,3만km,"10,750"
벤츠 S500L 4매틱,자동,5인승,8기통,455마력,71.4kgm,가솔린,5만km,
랜드로버 레인지로버 이보크 2.2 SD4 다이나믹,자동,5인승,4기통,190마력,42.8kgm,디젤,3만km,
도요타 라브4 2.5 2WD,자동,5인승,4기통,179마력,23.8kgm,가솔린,5천km,
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 LWB,자동,5인승,8기통,510마력,63.8kgm,가솔린,10만km,
BMW X3 xDrive 20d M 스포츠,자동,5인승,4기통,190마력,40.8kgm,디젤,1만km,
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 오토바이오그래피 다이나믹,자동,5인승,6기통,306마력,71.4kgm,디젤,8만km,
랜드로버 올 뉴 디스커버리 2.0 SD4 SE,자동,7인승,4기통,240마력,51kgm,디젤,3만km,
벤츠 GLC 220d 4매틱 프리미엄,자동,5인승,4기통,170마력,40.8kgm,디젤,6만km,
BMW X3 xDrive 30d M 스포츠,자동,5인승,6기통,265마력,63.2kgm,디젤,3천km,
캐딜락 에스컬레이드 6.2 V8 ESV AWD,자동,,,,,가솔린,6만km,
아우디 TT 쿠페 2.0 TFSI,자동,4인승,4기통,200마력,28.6kgm,가솔린,17만km,
벤츠 CLS 63 AMG 4매틱 S,자동,4인승,8기통,585마력,81.6kgm,가솔린,7만km,
랜드로버 뉴 레인지로버 5.0 V8 SC 보그 SE,자동,5인승,8기통,510마력,63.8kgm,가솔린,8만km,
캐딜락 에스컬레이드 6.2 V8 ESV AWD,자동,,,,,가솔린,3만km,
피아트 500X 2.0 디젤 AWD 크로스,자동,5인승,4기통,140마력,35.7kgm,디젤,5만km,
재규어 F페이스 20d 프레스티지 AWD,자동,5인승,4기통,180마력,43.9kgm,디젤,6만km,
벤츠 S450L 4매틱 마일드 하이브리드 ,자동,5인승,,,,가솔린,2만km,
벤츠 S450 4매틱 마일드 하이브리드 ,자동,5인승,,,,가솔린,6천km,
벤츠 S560L 4매틱 AMG 라인,자동,5인승,8기통,469마력,71.4kgm,가솔린,1만km,
벤츠 S560L 4매틱 AMG 라인,자동,5인승,8기통,469마력,71.4kgm,가솔린,1만km,
BMW M2 쿠페,자동,4인승,6기통,370마력,47.4kgm,가솔린,1만km,
벤츠 S450L 4매틱 마일드 하이브리드,자동,5인승,,,,가솔린+전기,1만km,
피아트 500X 2.0 디젤 AWD 크로스,자동,5인승,4기통,140마력,35.7kgm,디젤,5만km,"1,399"
벤츠 GLC 220d 4매틱,자동,5인승,4기통,170마력,40.8kgm,디젤,4만km,
벤츠 E200 쿠페,자동,4인승,4기통,184마력,30.6kgm,가솔린,2만km,
벤츠 S450L 4매틱 마일드 하이브리드,자동,5인승,,,,가솔린+전기,2만km,
벤츠 S450L 4매틱 마일드 하이브리드,자동,5인승,,,,가솔린+전기,1만km,
벤츠 S450L 4매틱 마일드 하이브리드,자동,5인승,,,,가솔린+전기,1만km,
벤츠 E200 아방가르드,자동,5인승,4기통,184마력,30.6kgm,가솔린,1만km,
벤츠 G63 AMG,자동,5인승,8기통,544마력,77.5kgm,가솔린,3만km,"11,900"
캐딜락 에스컬레이드 6.2 V8 ESV AWD,자동,,,,,가솔린,1만km,
벤츠 EQC 400 4매틱,자동,5인승,,,,전기,6천km,
벤츠 S450L 4매틱 마일드 하이브리드,자동,5인승,,,,가솔린,1만km,
아우디 RS7 4.0 TFSI 콰트로,자동,4인승,8기통,560마력,71.4kgm,가솔린,7만km,
BMW 730Ld,자동,5인승,6기통,258마력,57.1kgm,디젤,18만km,"2,390"
페라리 캘리포니아 T 3.9 V8  ,자동,4인승,8기통,560마력,77kgm,가솔린,2만km,
재규어 뉴 XJ 2.0 SWB 럭셔리,자동,5인승,4기통,240마력,34.7kgm,가솔린,5만km,
벤츠 G63 AMG,자동,5인승,8기통,544마력,77.5kgm,가솔린,7만km,
쉐보레 실버라도 픽업 5.3 V8 1500 ,자동,5인승,,,,가솔린,30만km,"3,950"
벤츠 E220 d 카브리올레,자동,4인승,4기통,194마력,40.8kgm,디젤,4천km,396
BMW 5 6세대 528i xDrive  ,자동,5인승,4기통,245마력,35.7kgm,가솔린,6만km,"2,000"
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,1만km,
벤츠 S63L AMG 4매틱 플러스,자동,5인승,8기통,612마력,91.8kgm,가솔린,3만km,
벤츠 E200,자동,5인승,,,,가솔린,37만km,
포르쉐 파나메라 3.0 디젤,자동,4인승,6기통,300마력,66.3kgm,디젤,14만km,"5,500"
마세라티 콰트로포르테 3.0 디젤,자동,5인승,6기통,275마력,61.2kgm,디젤,6만km,
도요타 FJ크루져 4WD,자동,5인승,,,,가솔린,8만ml,계약
BMW 3 6세대 320d  네비 패키지 ,자동,5인승,4기통,184마력,38.8kgm,디젤,11만km,"1,270"
벤츠 G55 AMG L,자동,5인승,,,,가솔린,18만km,
벤츠 C43 AMG 4매틱,자동,5인승,6기통,390마력,53kgm,가솔린,20km,
포르쉐 파나메라 4.8 터보,자동,4인승,8기통,500마력,71.4kgm,가솔린,10만km,"5,200"
벤츠 E300 4매틱 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,1만km,계약
포르쉐 파나메라 2.9 4S,자동,4인승,6기통,440마력,56.1kgm,가솔린,2만km,
벤츠 GLE 63 S AMG 4매틱 쿠페,자동,5인승,8기통,585마력,77.5kgm,가솔린,7만km,"6,900"
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,1만km,
포르쉐 파나메라 4.0 GTS,자동,4인승,8기통,460마력,63.2kgm,가솔린,1만km,
랜드로버 레인지로버 벨라 2.0 D240 R-다이나믹 SE ,자동,5인승,4기통,240마력,51kgm,디젤,1만km,"7,900"
벤츠 S65L AMG,자동,5인승,12기통,630마력,102kgm,가솔린,4만km,
벤틀리 벤테이가 6.0 W12,자동,5인승,12기통,608마력,91.8kgm,가솔린,4만km,
다이하쓰 미라지노 0.6  ,자동,,,,,가솔린,10만km,"1,700"
벤츠 S 6세대 S500L 4매틱 ,자동,5인승,8기통,455마력,71.4kgm,가솔린,5만km,"10,400"
아우디 A4 40 TDI 콰트로 프리미엄,자동,5인승,,,,디젤,1만km,
﻿테슬라 모델 S 75D,자동,5인승,,,,전기,5만km,
쉐보레 익스프레스밴 5.3 9인승,자동,9인승,,,,가솔린,5만ml,
람보르기니 우라칸 LP640-4 에보 스파이더,자동,2인승,,,,가솔린,3천km,
포르쉐 뉴 911 카레라 4,자동,4인승,6기통,392마력,45.9kgm,가솔린,7천km,
포르쉐 파나메라 4.0 터보,자동,4인승,8기통,550마력,78.5kgm,가솔린,7천km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,1만km,
롤스로이스 레이스 6.6 A/T,자동,4인승,12기통,632마력,81.6kgm,가솔린,6만km,
포르쉐 타이칸 4S,자동,4인승,,,,전기,1천km,
랜드로버 올 뉴 디스커버리 3.0 TD6 HSE,자동,7인승,6기통,258마력,61.2kgm,디젤,4만km,
테슬라 모델 X 롱 레인지,자동,6인승,,,,전기,1만km,
포르쉐 911 카레라 GTS 카브리올레,자동,4인승,6기통,450마력,56.1kgm,가솔린,1만km,
포르쉐 파나메라 4.0 GTS,자동,4인승,8기통,460마력,63.2kgm,가솔린,7천km,
페라리 포르토피노 3.9 V8,자동,4인승,8기통,600마력,77.5kgm,가솔린,1만km,
벤틀리 뉴 컨티넨탈 GT 6.0 W12,자동,,,,,가솔린,3천km,
롤스로이스 고스트 시리즈2 V12 6.6 블랙 배지,자동,5인승,12기통,612마력,85.6kgm,가솔린,2만km,
BMW 530d M 스포츠 플러스,자동,5인승,6기통,265마력,63.2kgm,디젤,4만km,
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,1만km,
포르쉐 파나메라 3.6 4 4WD,자동,4인승,6기통,300마력,40.8kgm,가솔린,9만km,
벤츠 E220 CDI 아방가르드,자동,5인승,4기통,170마력,40.8kgm,디젤,10만km,
벤틀리 컨티넨탈 플라잉스퍼 6.0,자동,4인승,12기통,625마력,81.6kgm,가솔린,6만km,
포르쉐 파나메라 3.6 4 4WD,자동,4인승,6기통,300마력,40.8kgm,가솔린,10만km,
아우디 A8 55 TFSI 콰트로 LWB,자동,5인승,6기통,340마력,51kgm,가솔린,2만km,
벤츠 CLS53 AMG 4매틱 플러스,자동,5인승,6기통,435마력,53kgm,가솔린,3천km,
랜드로버 레인지로버 이보크 2.0 TD4 SE,자동,5인승,4기통,180마력,43.9kgm,디젤,4만km,
페라리 GTC4 루쏘 3.9 V8 T,자동,4인승,8기통,610마력,77.5kgm,가솔린,1만km,
롤스로이스 레이스 6.6 A/T,자동,4인승,12기통,632마력,81.6kgm,가솔린,8천km,
롤스로이스 레이스 6.6 A/T,자동,4인승,12기통,632마력,81.6kgm,가솔린,2만km,
마세라티 르반떼 3.0 그란루쏘,자동,5인승,6기통,350마력,51kgm,가솔린,4만km,
람보르기니 우라칸 LP610-2 에보,자동,2인승,10기통,610마력,57.1kgm,가솔린,1천km,
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HSE 다이나믹,자동,5인승,6기통,306마력,71.4kgm,디젤,2만km,
테슬라 모델 S 75D,자동,5인승,,,,전기,4만km,
람보르기니 아벤타도르 LP740-4 S,자동,2인승,,,,가솔린,1만km,
애스턴마틴 DB11 5.2 V12 AMR,자동,4인승,,,,가솔린,6천km,
롤스로이스 팬텀 6.7 V12,자동,5인승,12기통,571마력,91.8kgm,가솔린,9천km,
벤츠 G500 4x4²,자동,,,,,가솔린,2만km,
더밴 9인승 스프린터,자동,,,,,디젤,3만km,
벤틀리 컨티넨탈 GT 6.0,자동,4인승,12기통,575마력,71.4kgm,가솔린,8만km,
람보르기니 아벤타도르 LP740-4 S,자동,2인승,,,,가솔린,1만km,
BMW i3 솔 플러스,자동,4인승,,,,전기,3천km,
벤츠 G500 4x4²,자동,,,,,가솔린,1만km,
벤츠 S63 AMG,자동,5인승,,,,가솔린,5만km,
벤츠 GLA45 AMG 4매틱,자동,5인승,4기통,381마력,48.5kgm,가솔린,1만km,
포르쉐 카이엔 3.0 디젤,자동,5인승,6기통,262마력,59.2kgm,디젤,10만km,
쉐보레 익스프레스밴 6.0,자동,,,,,가솔린,9만km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,1만km,
BMW X3 xDrive 20d M 에어로다이나믹,자동,5인승,4기통,190마력,40.8kgm,디젤,12만km,"2,900"
지프 올 뉴 그랜드체로키 3.6 V6 오버랜드,자동,5인승,6기통,286마력,35.4kgm,가솔린,2만km,"4,690"
BMW 428i 컨버터블 비전 100 에디션,자동,4인승,4기통,245마력,35.7kgm,가솔린,3만km,
벤츠 S500L,자동,5인승,8기통,455마력,71.4kgm,가솔린,7만km,
벤츠 G63 AMG ,자동,5인승,8기통,585마력,86.7kgm,가솔린,1만km,
벤츠 G500 4x4²,자동,,,,,가솔린,1만km,
벤츠 G63 AMG,자동,5인승,8기통,571마력,77.5kgm,가솔린,4만km,
아우디 Q8 50 TDI 콰트로 프리미엄,자동,5인승,6기통,286마력,61.2kgm,디젤,1만km,"9,200"
포르쉐 911  카레라 4 GTS 991,자동,4인승,6기통,450마력,56.1kgm,가솔린,1만km,"15,000"
마세라티 그란카브리오 4.7 스포츠,자동,4인승,8기통,460마력,53kgm,가솔린,3만km,
벤츠 S550L e,자동,5인승,,,,가솔린+전기,6만km,"1,751"
혼다 S660 베타,자동,2인승,,,,가솔린,5만km,
벤틀리 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,507마력,67.3kgm,가솔린,6만km,"10,400"
캐딜락 에스컬레이드 6.2 V8 AWD 플래티넘,자동,7인승,8기통,426마력,63.5kgm,가솔린,1천km,
벤츠 S350 d,자동,5인승,6기통,286마력,61.2kgm,디젤,30km,
벤츠 S560L 4매틱,자동,5인승,8기통,469마력,71.4kgm,가솔린,6만km,
테슬라 모델 S 75D,자동,5인승,,,,전기,4만km,
테슬라 모델 X 100D,자동,6인승,,,,전기,4만km,
아우디 R8 5.2 V10 퍼포먼스 쿠페,자동,2인승,10기통,610마력,57.1kgm,가솔린,5천km,
아우디 Q8 50 TDI 콰트로 프리미엄,자동,5인승,6기통,286마력,61.2kgm,디젤,4천km,
BMW 320d GT xDrive M 스포츠 프리미엄,자동,5인승,4기통,190마력,40.8kgm,디젤,2만km,
포르쉐 뉴 카이엔 3.0,자동,5인승,6기통,340마력,45.9kgm,가솔린,6만km,
벤츠 S500L 4매틱,자동,5인승,8기통,455마력,71.4kgm,가솔린,3만km,
포르쉐 파나메라 2.9 4S,자동,4인승,6기통,440마력,56.1kgm,가솔린,3만km,
랜드로버 뉴 레인지로버 4.4 SDV8 보그 SE,자동,5인승,8기통,339마력,75.5kgm,디젤,6만km,
﻿BMW 328i M 스포츠,자동,5인승,6기통,245마력,35.7kgm,가솔린,3만km,
포르쉐 911 터보 카브리올레,자동,4인승,6기통,520마력,72.4kgm,가솔린,4만km,
랜드로버 뉴 레인지로버 스포츠 3.0 SDV6 HEV HSE 다이나믹,자동,5인승,6기통,354마력,71.4kgm,디젤+전기,3만km,
BMW 528i,자동,5인승,4기통,245마력,35.7kgm,가솔린,26만km,
포르쉐 718 박스터 2.5 GTS,수동,,,,,가솔린,5천km,
벤츠 E300 엘레강스,자동,5인승,6기통,231마력,30.1kgm,가솔린,23만km,
아우디 RS7 4.0 TFSI 콰트로,자동,4인승,8기통,560마력,71.4kgm,가솔린,8만km,
BMW 428i 컨버터블 M 스포츠,자동,4인승,4기통,245마력,35.7kgm,가솔린,9만km,
벤츠 S63L AMG 4매틱 플러스,자동,5인승,8기통,612마력,91.8kgm,가솔린,7만km,
크라이슬러 프라울러,자동,,,,,가솔린,7천ml,
허머 H2 SUT 6.0,자동,5인승,,,,가솔린,7만km,
벤츠 E300 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,1만km,
BMW 730Ld xDrive,자동,5인승,6기통,265마력,63.2kgm,디젤,9만km,
벤츠 E300 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,4만km,
랜드로버 디스커버리 스포츠 2.0 TD4 HSE 럭셔리,자동,5인승,4기통,180마력,43.9kgm,디젤,3만km,
벤츠 E300 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,4만km,
재규어 XJ8 3.5,자동,5인승,8기통,262마력,35.2kgm,가솔린,10만km,"1,850"
크라이슬러 300C 3.5 V6  ,자동,5인승,6기통,250마력,35.3kgm,가솔린,9만km,200
맥라렌 GT 4.0 V8,자동,2인승,8기통,620마력,64.3kgm,가솔린,5천km,
람보르기니 우라칸 LP610-4,자동,2인승,10기통,610마력,57.1kgm,가솔린,2만km,
포르쉐 911 터보 S 카브리올레,자동,4인승,6기통,560마력,76.5kgm,가솔린,3만km,
