차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
기아 프레지오 그랜드 코치 15인승  초장축 LS,수동,15인승,,,,디젤,34만km,399
현대 뉴스타렉스 캠핑카 ,자동,,,,,디젤,19만km,"1,399"
GM대우 BH 090 ,수동,,,,,디젤,30만km,"1,100"
기아 봉고3 15인승 ,수동,15인승,,,,디젤,17만km,550
기아 코스모스 35인승 ,수동,35인승,,,,디젤,25만km,750
현대 그레이스 15인승  그랜드 살롱,수동,15인승,,,,디젤,28만km,370
현대 카운티 캠핑카 ,수동,,,,,디젤,18만km,"4,100"
현대 캠핑카 캠핑카 ,수동,,,,,디젤,16만km,"2,500"
현대 카운티 캠핑카 ,수동,,,,,디젤,18만km,"3,990"
현대 e-카운티 롱바디 투어  16인승,수동,16인승,,,,디젤,70만km,"1,550"
기아 봉고3 15인승 ,수동,15인승,,,,디젤,14만km,550
현대 뉴스타렉스 캠핑카 ,자동,,,,,디젤,19만km,"1,399"
GM대우 BX 212H ,수동,,,,,디젤,16만km,"3,200"
현대 카운티 캠핑카 ,수동,,,,,디젤,33만km,"3,990"
현대 싼타페TM  2.2 디젤 2WD 프레스티지,자동,5인승,4기통,202마력,45kgm,디젤,2만km,"3,030"
현대 싼타페TM 2.0 T-GDi 2WD 익스클루시브,자동,5인승,4기통,235마력,36kgm,가솔린,1만km,"2,770"
현대 제네시스 BH330 럭셔리,자동,5인승,6기통,262마력,32.1kgm,가솔린,13만km,720
기아 더 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,3만km,"2,280"
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"2,630"
현대 그랜져IG 2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"2,470"
현대 싼타페TM 2.2 디젤 2WD 프레스티지,자동,5인승,4기통,202마력,45kgm,디젤,2만km,"3,390"
쉐보레 어메이징 뉴 크루즈 1.4 터보 퍼펙트 블랙,자동,5인승,4기통,140마력,20.4kgm,가솔린,7만km,970
현대 쏘나타 G2.0 프리미엄 패밀리 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,1만km,"2,420"
현대 싼타페TM 2.2 디젤 2WD 인스퍼레이션,자동,5인승,4기통,202마력,45kgm,디젤,1만km,"3,570"
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,5만km,"2,750"
제네시스 G80 3.3 GDi 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,3만km,"4,080"
현대 뉴 제네시스 G330 프리미엄,자동,5인승,6기통,282마력,35.4kgm,가솔린,5만km,"2,780"
현대 그랜져IG 2.4 GDI  프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,9만km,"1,950"
현대 싼타페DM 2.0 VGT 2WD  프리미엄,자동,,,,,디젤,11만km,"1,530"
현대 코나 일렉트릭 프리미엄,자동,5인승,,,,전기,3만km,"2,580"
기아 더 뉴 쏘렌토 2.0 T-GDi 2WD 노블레스,자동,5인승,4기통,240마력,36kgm,가솔린,4만km,"2,690"
현대 싼타페TM 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,1만km,"3,130"
현대 코나 1.6 e-VGT 2WD 프리미엄,자동,5인승,4기통,136마력,26.9kgm,디젤,6만km,"1,890"
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,2만km,"4,230"
현대 더 뉴 싼타페  2.5 T-GDI 2WD 프레스티지 5인승,자동,5인승,4기통,281마력,42.9kgm,가솔린,6천km,"3,399"
현대 에쿠스 JS 330 럭셔리,자동,5인승,6기통,247마력,31.5kgm,가솔린,7만km,450
현대 e-카운티 캠핑카,수동,,,,,디젤,2만km,"7,200"
기아 올 뉴 K3 G1.6 노블레스,자동,5인승,4기통,123마력,15.7kgm,가솔린,5만km,"1,780"
기아 스포티지 4세대 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"1,790"
현대 그랜져HG 300 LPG 모던,자동,5인승,,,,LPG,12만km,"1,390"
현대 팰리세이드 3.8 가솔린 2WD  익스클루시브,자동,,,,,가솔린,1만km,"3,590"
르노삼성 트위지 인텐스 ,자동,2인승,,,,전기,6천km,320
르노삼성 트위지 인텐스 ,자동,2인승,,,,전기,364km,370
현대 올 뉴 투싼 1.6 E-VGT 2WD  모던,자동,5인승,4기통,136마력,32.6kgm,디젤,4만km,"1,900"
현대 LF쏘나타 하이브리드 2.0 HEV  모던,자동,5인승,4기통,191마력,27kgm,가솔린+전기,6만km,"1,650"
르노삼성 SM3 Z.E RE ,자동,5인승,,,,전기,2만km,940
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,75마력,9.7kgm,가솔린,4만km,750
현대 포터2 초장축 더블캡 CRDi 고급형,수동,,,,,디젤,25만km,450
현대 제네시스  BH380 로얄 VIP 팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,11만km,"1,120"
현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,자동,,,,,디젤,12만km,740
쌍용 코란도 스포츠 CX5 2WD 패션,자동,5인승,,,,디젤,6만km,"1,270"
르노삼성 뉴 SM3 SE,수동,,,,,가솔린,21만km,190
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,6만km,660
현대 쏘나타 뉴 라이즈 2.0 CVVL 스타일,자동,5인승,4기통,163마력,20kgm,가솔린,8천km,"1,720"
르노삼성 뉴 SM5 SE,자동,5인승,4기통,140마력,18.8kgm,가솔린,9만km,210
GM대우 뉴 다마스 코치 5인승 리빅,자동,5인승,4기통,,,LPG,3만km,630
쉐보레 트랙스 1.4 가솔린 LT,자동,5인승,4기통,140마력,20.4kgm,가솔린,6만km,940
현대 더 뉴 아반떼AD G1.6 프리미엄,자동,5인승,4기통,123마력,15.7kgm,디젤,1만km,"1,880"
제네시스 EQ900 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,20만km,"2,890"
쉐보레 더 넥스트 스파크  1.0 LT,자동,5인승,4기통,,,가솔린,4만km,620
현대 포터2  초장축 슈퍼캡 CRDi 기본형,수동,,,,,디젤,15만km,420
﻿제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,10만km,"4,590"
제네시스 EQ900 3.8 GDi  럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"3,990"
현대 아슬란 G300  익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,7만km,"2,499"
제네시스 EQ900 5.0 GDi AWD  프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,9만km,"4,690"
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"4,199"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,7만km,"5,499"
기아 더 K9 3.8 GDI  플래티넘Ⅱ,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"4,499"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,7만km,"5,499"
제네시스 EQ900 3.3 T-GDi AWD  프레스티지,자동,5인승,6기통,370마력,52kgm,가솔린,11만km,"4,590"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"5,590"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,17만km,"3,699"
제네시스 G90 5.0 GDi AWD 프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,5만km,"8,290"
제네시스 EQ900 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,11만km,"4,299"
기아 올 뉴 카니발 2.2 디젤 11인승  럭셔리,자동,11인승,,,,디젤,6만km,"1,780"
기아 스포티지R 2.0 디젤 2WD  TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,11만km,890
기아 올 뉴 카니발 2.2 디젤 9인승  럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,11만km,"1,490"
쌍용 G4 렉스턴 2.2 디젤 4WD 프라임,자동,5인승,,,,디젤,7만km,"2,100"
현대 더 뉴 그랜드스타렉스 밴 5인승 모던,자동,5인승,,,,디젤,14만km,"1,750"
현대 쏘나타 뉴 라이즈 1.7 e-VGT  모던,자동,5인승,4기통,141마력,34.7kgm,디젤,3만km,"2,070"
현대 그랜드스타렉스 WAGON 12인승 CVX 프리미엄,자동,,,,,디젤,12만km,"1,020"
르노삼성 SM5 노바 LPLi RE,자동,,,,,LPG,12만km,"1,030"
현대 그랜드스타렉스 VAN 5인승 모던,자동,,,,,디젤,13만km,"1,550"
현대 그랜드스타렉스 VAN 5인승 스마트,자동,,,,,디젤,13만km,"1,560"
현대 그랜드스타렉스 VAN 5인승 모던,자동,,,,,디젤,13만km,"1,570"
현대 그랜져HG 하이브리드 2.4 HEV 프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,9만km,"1,490"
현대 더 뉴 그랜드스타렉스 밴 3인승 스마트,자동,3인승,,,,디젤,7만km,"1,900"
제네시스 G80 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"3,590"
현대 포터2 초장축 더블캡 CRDi 프리미엄,자동,,,,,디젤,1만km,"2,100"
현대 포터2 초장축 더블캡 CRDi  프리미엄,자동,,,,,디젤,7천km,"2,010"
현대 포터2 초장축 슈퍼캡 CRDi 스마트,자동,,,,,디젤,12만km,"1,350"
쌍용 티볼리 에어 1.6 디젤 2WD  RX,자동,5인승,4기통,115마력,30.6kgm,가솔린,2만km,"1,030"
현대 포터2 초장축 슈퍼캡 HI-SUP  고급형,자동,,,,,디젤,22만km,950
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,8만km,"2,850"
현대 그랜져IG 2.4 GDI  모던,자동,5인승,4기통,190마력,24.6kgm,가솔린,12만km,"1,390"
현대 뉴 투싼ix 2.0 디젤 2WD  스마트,자동,5인승,4기통,184마력,39kgm,디젤,14만km,850
기아 더 뉴 스포티지R 2.0 디젤 4WD  프레스티지,자동,5인승,4기통,184마력,41kgm,디젤,12만km,"1,030"
현대 투스카니 2.7 엘리사  고급형,자동,4인승,6기통,175마력,25kgm,가솔린,13만km,230
기아 K7 프리미어 2.5 GDI  노블레스,자동,5인승,4기통,198마력,25.3kgm,가솔린,8천km,"3,090"
제네시스 GV80 3.5 T-GDi AWD 5인승,자동,5인승,6기통,380마력,54.1kgm,가솔린,5천km,"7,500"
현대 그랜져TG Q270 LPI 모범형 패키지 2,자동,5인승,,,,LPG,39만km,159
기아 올 뉴 K7 2.4 GDi  프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,1만km,"2,270"
기아 더 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,11만km,"1,990"
기아 봉고3 1톤 4X2 CRDI 초장축 킹캡,자동,3인승,,,,디젤,7만km,"1,550"
기아 봉고3 1톤 4X2 CRDI 초장축 표준캡,자동,3인승,,,,디젤,11만km,"1,240"
GM대우 알페온 CL240  프리미엄,자동,5인승,4기통,185마력,24kgm,가솔린,14만km,399
현대 뉴 제네시스 G330 프리미엄 AWD,자동,5인승,6기통,282마력,35.4kgm,가솔린,12만km,"2,190"
현대 아반떼MD M16 GDi 프리미어,자동,5인승,,,,가솔린,9만km,320
현대 아반떼AD 1.6 GDi 밸류 플러스,자동,5인승,4기통,132마력,16.3kgm,가솔린,3만km,850
현대 그랜드스타렉스 VAN 5인승 CVX 프리미엄,자동,5인승,,,,디젤,9만km,959
기아 K5 2.0 프레스티지,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,399
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,460
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,3만km,420
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,7만km,590
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,4만km,290
현대 YF쏘나타 2.0 Y20 LPi 탑,자동,5인승,,,,LPG,9만km,389
기아 K3 1.6 GDI 프레스티지,자동,5인승,4기통,140마력,16.9kgm,가솔린,7만km,490
기아 스포티지R 2.0 디젤 2WD TLX 최고급형,자동,5인승,4기통,184마력,40kgm,디젤,6만km,590
기아 K5 2세대 1.7 디젤 MX 노블레스,자동,5인승,4기통,141마력,34.7kgm,디젤,8만km,899
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,499
현대 YF쏘나타 2.0 Y20 프리미어 최고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,10만km,290
현대 YF쏘나타 2.0 Y20 LPi 프리미어,자동,5인승,,,,LPG,12만km,390
르노삼성 뉴 SM5  LE,자동,5인승,4기통,141마력,19.8kgm,LPG,14만km,299
현대 아반떼AD 1.6 GDi 모던,자동,5인승,4기통,132마력,16.3kgm,가솔린,7만km,650
기아 쏘울 1.6 2U 세이프티,자동,5인승,4기통,124마력,15.9kgm,가솔린,4만km,390
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,75마력,9.6kgm,가솔린,4만km,420
기아 쏘렌토R 2.0 TLX 2WD 프리미엄,자동,7인승,4기통,184마력,40kgm,디젤,9만km,590
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,75마력,9.6kgm,가솔린,4만km,420
르노삼성 QM3 LE,자동,5인승,4기통,90마력,22.4kgm,디젤,13만km,420
현대 그랜져HG 하이브리드 2.4 HEV 프리미엄,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,13만km,899
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,7만km,599
﻿기아 뉴 카렌스 2.0 LPI GX 고급형,자동,7인승,4기통,136마력,18.9kgm,LPG,22만km,320
쉐보레 임팔라 2.5 LTZ,자동,5인승,4기통,199마력,26kgm,가솔린,11만km,"1,520"
현대 뉴스타렉스 점보 밴 CRDI 6인승 GRX 윈도우밴 고급형,자동,6인승,,,,디젤,18만km,550
쉐보레 올 뉴 크루즈 1.4 터보 LTZ,자동,5인승,4기통,153마력,24.5kgm,디젤,3만km,"1,350"
르노삼성 SM7 뉴 아트 LE23,자동,5인승,6기통,170마력,23kgm,가솔린,9만km,630
기아 K5 2세대 LPI MX 럭셔리,자동,5인승,,,,LPG,12만km,990
현대 LF쏘나타 2.0 LPi 프리미엄,자동,5인승,,,,LPG,13만km,"1,190"
현대 코나 1.6 T-GDi 2WD 모던,자동,5인승,4기통,177마력,27kgm,가솔린,2만km,"1,930"
기아 올 뉴 모닝 1.0 가솔린 트렌디,자동,5인승,3기통,,,가솔린,2만km,830
현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,자동,,,,,디젤,8만km,990
쉐보레 올란도 1.6 디젤 LT 프리미엄,자동,7인승,4기통,134마력,32.6kgm,디젤,13만km,950
현대 그랜드스타렉스 WAGON 12인승 CVX 프리미엄,자동,12인승,,,,디젤,15만km,720
현대 뉴스타렉스 점보 밴 CRDI 6인승 GRX 윈도우밴 고급형,자동,6인승,,,,디젤,16만km,550
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,13만km,"1,490"
현대 뉴스타렉스 점보 밴 CRDI 6인승 GRX 판넬밴 고급형,수동,6인승,,,,디젤,14만km,499
기아 스포티지 4세대 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,10만km,"1,450"
쌍용 코란도 C 클러비 2WD 파크,자동,5인승,4기통,181마력,36.7kgm,디젤,8만km,790
기아 K5 2.0 터보 프레스티지,자동,5인승,4기통,271마력,37.1kgm,가솔린,22만km,650
기아 더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,자동,9인승,4기통,202마력,45kgm,디젤,5만km,"2,800"
현대 싼타페TM 2.0 디젤 2WD 프리미엄,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,170"
현대 팰리세이드 2.2 디젤 4WD  캘리그래피,자동,7인승,4기통,202마력,45kgm,디젤,1천km,"4,950"
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 VIP,자동,7인승,4기통,202마력,45kgm,디젤,5만km,"2,570"
현대 아반떼AD 1.6 e-VGT  스마트 ,자동,5인승,4기통,136마력,26.9kgm,디젤,4만km,"1,340"
현대 그랜드스타렉스 WAGON 12인승  CVX 프리미엄,자동,12인승,,,,디젤,10만km,750
벤텍 라쿤S 이동업무차,자동,5인승,,,,디젤,1만km,"4,600"
르노삼성 뉴 마스터 2.3 디젤 15인승,수동,15인승,,,,디젤,6천km,"3,990"
현대 뉴 제네시스 G380 프레스티지 AWD,자동,5인승,6기통,315마력,40.5kgm,가솔린,17만km,"2,040"
현대 LF쏘나타 2.0 CVVL  스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,8천km,"1,630"
기아 올 뉴 K7 3.3 GDi  노블레스 스페셜,자동,5인승,6기통,290마력,35kgm,가솔린,6만km,"2,500"
기아 올 뉴 K7 3.3 GDi 리미티드 플러스,자동,5인승,6기통,290마력,35kgm,가솔린,2만km,"2,350"
제네시스 G90 3.3 T-GDi 럭셔리,자동,5인승,6기통,370마력,52kgm,가솔린,4만km,"6,290"
기아 그랜드카니발 리미티드 최고급형,자동,9인승,4기통,170마력,36kgm,디젤,30만km,220
기아 K5 L2.0  트렌디,자동,5인승,,,,LPG,3천km,759
현대 팰리세이드 2.2 디젤 4WD 익스클루시브,자동,,,,,디젤,1만km,"1,728"
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,1만km,"1,190"
르노삼성 SM5 SM520 SE,자동,5인승,4기통,143마력,18.5kgm,가솔린,21만km,120
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,75마력,9.6kgm,가솔린,10만km,730
쌍용 G4 렉스턴 2.2 디젤 4WD 헤리티지,자동,5인승,4기통,187마력,42.8kgm,디젤,6천km,"3,350"
쌍용 베리 뉴 티볼리 1.5 가솔린 2WD V3 스페셜,자동,5인승,4기통,163마력,26.5kgm,가솔린,9천km,"1,850"
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,810
GM대우 윈스톰 LS 5인승 2WD  고급형,자동,5인승,4기통,150마력,32.6kgm,디젤,25만km,240
제네시스 G70 3.3 T-GDi AWD 스포츠 슈프림,자동,5인승,6기통,370마력,52kgm,가솔린,6만km,"3,799"
현대 제네시스 GP500  프라다,자동,5인승,8기통,430마력,52kgm,가솔린,9만km,"2,100"
기아 더 뉴 K5 2세대 2.0 가솔린 럭셔리,자동,5인승,4기통,163마력,20kgm,가솔린,6만km,"468,000"
현대 제네시스 쿠페 380 GT RW,자동,4인승,6기통,303마력,36.8kgm,가솔린,12만km,880
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,자동,5인승,4기통,201마력,25.5kgm,가솔린,7만km,"1,300"
현대 뉴베르나 4도어 1.3 GL 기본형,자동,5인승,4기통,,,가솔린,9만km,150
기아 올 뉴 쏘렌토 2.2 디젤 2WD  노블레스 스페셜,자동,5인승,4기통,202마력,45kgm,디젤,9만km,"2,130"
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 프레지던트,자동,7인승,4기통,202마력,45kgm,디젤,9만km,"2,100"
현대 그랜져HG 300 LPG 이그제큐티브,자동,5인승,,,,LPG,29만km,860
쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 클럽,자동,5인승,,,,디젤,7만km,"2,250"
현대 뉴 에쿠스 VS 380  럭셔리,자동,5인승,6기통,334마력,40.3kgm,가솔린,11만km,"1,170"
현대 엑센트  1.4 VVT 모던,자동,5인승,4기통,100마력,13.6kgm,가솔린,4만km,695
대우 뉴칼로스 1.5 다이아몬드,자동,5인승,4기통,86마력,13.4kgm,가솔린,15만km,150
쉐보레 트레일블레이저 1.3 터보  프리미어,자동,5인승,3기통,156마력,24.1kgm,가솔린,1만km,"503,000"
현대 그랜드스타렉스 VAN 5인승 CVX 럭셔리,자동,5인승,,,,디젤,28만km,550
현대 그랜져IG 하이브리드 2.4 HEV 익스클루시브 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,1만km,"3,290"
쉐보레 크루즈 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,7만km,680
현대 제네시스 쿠페 380 GT P,자동,4인승,6기통,303마력,36.8kgm,가솔린,16만km,680
기아 포르테 쿱 1.6 GDI 프레스티지,자동,5인승,4기통,140마력,16.9kgm,가솔린,11만km,580
현대 싼타페CM 2.2 VGT MLX 2WD 최고급형,자동,7인승,4기통,153마력,35kgm,디젤,7만km,400
쉐보레 더 넥스트 스파크 1.0 LTZ,자동,5인승,4기통,75마력,9.6kgm,가솔린,3만km,580
기아 K3 1.6 GDI  트렌디,자동,5인승,4기통,140마력,16.9kgm,가솔린,7만km,580
기아 K5 2.0 LPi 프레스티지,자동,5인승,,,,LPG,9만km,510
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,6만km,330
기아 더 뉴 K7 3.0 LPi 프레스티지,자동,,,,,LPG,9만km,990
쉐보레 스파크 LT ,자동,5인승,4기통,70마력,9.4kgm,가솔린,11만km,190
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,620
현대 포터2 내장탑차,수동,3인승,,,,디젤,15만km,계약
현대 그랜드스타렉스 12인승 어린이 보호차량,자동,12인승,,,,디젤,11만km,계약
﻿현대 i30 1.6 VVT 럭셔리,자동,5인승,4기통,124마력,15.9kgm,가솔린,11만km,450
기아 쏘렌토 4세대 G1.6T HEV 2WD 시그니처,자동,5인승,4기통,230마력,35.7kgm,가솔린+전기,1만km,"4,470"
현대 포터2 초장축 슈퍼캡 CRDi 기본형,수동,,,,,디젤,15만km,500
현대 뉴 에쿠스 VS 380 프레스티지,자동,5인승,6기통,334마력,40.3kgm,가솔린,17만km,"2,090"
기아 그랜드카니발 GLX 고급형,자동,11인승,4기통,170마력,36kgm,디젤,21만km,410
